Date,Spot Price,Temp
08/03/2022,133.18,Hot
08/06/2022,129.2,Hot
07/03/2022,129.02,Hot
09/06/2022,128.47,Hot
13/06/2022,128.44,Hot
23/03/2022,127.52,Hot
10/06/2022,127.44,Hot
14/06/2022,127.02,Hot
07/06/2022,126.89,Hot
16/06/2022,125.78,Hot
03/06/2022,125.68,Hot
31/05/2022,125.53,Hot
06/06/2022,124.99,Hot
15/06/2022,124.96,Hot
24/03/2022,123.98,Hot
04/03/2022,123.86,Hot
30/05/2022,123.01,Hot
25/03/2022,122.67,Hot
21/03/2022,122.29,Hot
28/06/2022,122.21,Hot
01/06/2022,122.2,Hot
04/07/2022,121.8,Hot
22/03/2022,121.53,Hot
27/05/2022,121.19,Hot
29/06/2022,120.8,Hot
26/05/2022,119.81,Hot
30/06/2022,119.78,Hot
27/06/2022,119.69,Hot
17/06/2022,119.22,Hot
01/07/2022,119.21,Hot
02/03/2022,118.94,Hot
21/06/2022,118.51,Hot
20/06/2022,118.25,Hot
11/03/2022,118.11,Hot
24/06/2022,117.36,Hot
18/07/2022,117.27,Hot
09/03/2022,116.58,Hot
25/05/2022,116.41,Hot
20/07/2022,115.86,Hot
24/05/2022,115.77,Hot
30/03/2022,115.59,Hot
22/06/2022,115.54,Hot
03/03/2022,115.36,Hot
23/05/2022,115.13,Hot
19/07/2022,114.96,Hot
16/05/2022,114.86,Hot
11/07/2022,114.85,Hot
10/03/2022,114.54,Hot
28/03/2022,114.5,Hot
23/06/2022,114.5,Hot
18/03/2022,114.32,Hot
08/07/2022,113.95,Hot
06/05/2022,113.86,Hot
20/05/2022,113.63,Hot
17/03/2022,113.5,Hot
07/07/2022,113.4,Hot
19/05/2022,113.22,Hot
17/05/2022,112.89,Hot
21/07/2022,112.81,Hot
29/03/2022,112.79,Hot
15/07/2022,112.26,Hot
13/05/2022,112.12,Hot
05/05/2022,112.11,Hot
29/07/2022,111.51,Hot
01/03/2022,110.93,Hot
14/04/2022,110.83,Hot
04/05/2022,110.53,Cold
05/07/2022,110.49,Hot
14/03/2022,110.39,Cold
18/05/2022,110.04,Cold
28/07/2022,109.68,Cold
27/07/2022,109.64,Hot
06/07/2022,108.54,Cold
13/04/2022,108.49,Cold
29/04/2022,108.36,Cold
25/07/2022,108.23,Hot
04/04/2022,108.15,Hot
12/05/2022,108.06,Cold
14/07/2022,107.74,Cold
11/05/2022,107.7,Hot
26/07/2022,107.32,Cold
31/03/2022,107.29,Hot
21/04/2022,107.2,Cold
11/08/2022,107.19,Cold
13/07/2022,107.17,Hot
12/07/2022,106.98,Cold
22/07/2022,106.77,Cold
09/05/2022,106.67,Hot
05/04/2022,106.6,Cold
02/08/2022,106.51,Hot
01/04/2022,106.13,Cold
01/08/2022,106.09,Cold
28/04/2022,105.78,Hot
19/04/2022,105.49,Cold
22/04/2022,105.15,Hot
15/03/2022,105.14,Hot
10/08/2022,105.06,Hot
20/04/2022,105.05,Hot
03/05/2022,104.94,Hot
16/03/2022,104.61,Cold
12/04/2022,104.42,Hot
09/08/2022,103.81,Cold
12/08/2022,103.7,Hot
08/08/2022,103.46,Hot
27/04/2022,103.3,Cold
28/02/2022,103.08,Cold
26/04/2022,102.89,Hot
10/05/2022,102.61,Cold
03/08/2022,101.82,Cold
14/02/2022,101.66,Cold
24/02/2022,101.29,Cold
08/04/2022,101.26,Hot
26/08/2022,101.13,Hot
06/04/2022,100.81,Hot
05/08/2022,100.31,Cold
24/08/2022,99.87,Hot
07/04/2022,99.83,Cold
23/08/2022,99.49,Cold
30/08/2022,99.34,Cold
23/02/2022,99.29,Hot
25/04/2022,99.27,Cold
21/02/2022,98.95,Hot
25/08/2022,98.81,Cold
22/02/2022,98.73,Cold
25/02/2022,98.56,Hot
15/02/2022,98.43,Hot
15/08/2022,98.25,Cold
04/08/2022,97.99,Hot
11/04/2022,97.92,Cold
11/02/2022,97.5,Hot
16/02/2022,97.44,Cold
07/02/2022,97.28,Hot
17/08/2022,97.22,Cold
04/02/2022,96.86,Cold
31/08/2022,96.55,Hot
19/08/2022,96.45,Cold
10/02/2022,96.37,Cold
18/08/2022,96.35,Hot
18/02/2022,96.18,Cold
08/02/2022,96.07,Cold
16/08/2022,95.36,Hot
17/02/2022,95.28,Hot
22/08/2022,95.06,Hot
09/02/2022,94.95,Hot
05/09/2022,94.22,Cold
12/09/2022,93.45,Hot
02/09/2022,93.09,Hot
03/02/2022,92.99,Hot
31/01/2022,92.35,Cold
01/09/2022,92.24,Cold
09/09/2022,91.68,Cold
28/01/2022,91.47,Hot
02/02/2022,91.43,Cold
06/09/2022,91.43,Hot
26/01/2022,91.22,Hot
27/01/2022,90.7,Cold
01/02/2022,90.24,Hot
20/01/2022,89.75,Hot
21/01/2022,89.75,Cold
19/01/2022,89.64,Cold
25/01/2022,89.49,Cold
18/01/2022,88.83,Hot
08/09/2022,87.99,Hot
17/01/2022,87.82,Cold
24/01/2022,87.74,Hot
14/01/2022,87.17,Hot
07/09/2022,86.83,Cold
12/01/2022,85.83,Hot
13/01/2022,85.8,Cold
20/10/2021,85.76,Hot
22/10/2021,85.43,Hot
26/10/2021,85.11,Hot
19/10/2021,85.02,Cold
11/01/2022,84.98,Cold
25/10/2021,84.85,Cold
15/10/2021,84.67,Cold
21/10/2021,84.58,Cold
09/11/2021,84.52,Hot
01/11/2021,84.51,Hot
02/11/2021,84.42,Cold
18/10/2021,84.13,Hot
27/10/2021,84.12,Cold
14/10/2021,83.86,Hot
11/10/2021,83.75,Cold
12/10/2021,83.53,Hot
13/10/2021,83.53,Cold
23/11/2021,83.43,Hot
28/10/2021,83.4,Hot
11/11/2021,83.4,Hot
08/11/2021,83.22,Cold
29/10/2021,83.1,Cold
10/11/2021,82.91,Cold
12/11/2021,82.9,Cold
16/11/2021,82.85,Cold
05/10/2021,82.72,Cold
18/11/2021,82.45,Cold
05/11/2021,82.43,Hot
24/11/2021,82.37,Cold
07/10/2021,82.34,Cold
07/01/2022,82.28,Cold
08/10/2021,82.17,Hot
25/11/2021,82.05,Hot
06/01/2022,81.99,Hot
15/11/2021,81.94,Hot
10/01/2022,81.56,Hot
04/10/2021,81.44,Hot
06/10/2021,81.39,Hot
03/11/2021,81.1,Hot
22/11/2021,80.97,Cold
17/11/2021,80.67,Hot
05/01/2022,80.6,Cold
19/11/2021,80.24,Hot
04/11/2021,80.15,Cold
01/10/2021,79.4,Cold
04/01/2022,79.39,Hot
27/09/2021,78.85,Cold
29/12/2021,78.63,Hot
30/12/2021,78.61,Cold
05/07/2021,78.34,Hot
28/09/2021,78.3,Hot
03/01/2022,78.25,Cold
29/09/2021,77.86,Cold
30/09/2021,77.81,Hot
30/07/2021,77.72,Cold
02/07/2021,77.51,Cold
13/07/2021,77.5,Hot
24/09/2021,77.42,Hot
31/12/2021,77.24,Hot
09/07/2021,77.14,Hot
30/06/2021,76.94,Cold
12/07/2021,76.77,Cold
01/07/2021,76.69,Hot
25/06/2021,76.45,Hot
23/09/2021,76.44,Cold
29/07/2021,76.3,Hot
23/12/2021,76.26,Hot
24/06/2021,75.95,Cold
08/12/2021,75.94,Cold
06/07/2021,75.81,Cold
14/07/2021,75.74,Cold
07/12/2021,75.54,Hot
22/09/2021,75.5,Hot
29/06/2021,75.38,Hot
24/12/2021,75.24,Cold
23/06/2021,75.22,Hot
16/09/2021,75.14,Hot
28/07/2021,75.09,Cold
08/07/2021,75.07,Cold
10/12/2021,74.98,Cold
22/06/2021,74.92,Cold
27/07/2021,74.87,Hot
23/07/2021,74.86,Hot
15/09/2021,74.84,Cold
26/07/2021,74.79,Cold
28/06/2021,74.78,Cold
22/12/2021,74.69,Cold
17/09/2021,74.64,Cold
16/12/2021,74.64,Cold
15/07/2021,74.53,Hot
21/06/2021,74.49,Hot
16/07/2021,74.46,Cold
07/07/2021,74.31,Hot
22/07/2021,74.25,Cold
13/12/2021,74.12,Hot
09/12/2021,74.1,Hot
02/08/2021,73.91,Hot
16/06/2021,73.88,Cold
15/12/2021,73.71,Hot
21/09/2021,73.65,Cold
20/09/2021,73.59,Hot
02/09/2021,73.56,Hot
31/08/2021,73.45,Hot
15/06/2021,73.38,Hot
06/12/2021,73.38,Cold
14/12/2021,73.37,Cold
29/11/2021,73.34,Hot
03/08/2021,73.24,Cold
18/06/2021,73.1,Cold
03/09/2021,73.07,Cold
14/09/2021,73.05,Hot
13/09/2021,72.97,Cold
17/12/2021,72.97,Hot
17/06/2021,72.92,Hot
21/12/2021,72.85,Hot
21/07/2021,72.54,Hot
10/09/2021,72.44,Hot
06/09/2021,72.43,Hot
26/11/2021,72.37,Cold
08/09/2021,72.36,Hot
14/06/2021,72.27,Cold
27/08/2021,72.26,Cold
05/08/2021,72.14,Cold
25/08/2021,72.12,Cold
11/06/2021,72.05,Hot
11/08/2021,71.99,Cold
01/09/2021,71.99,Cold
